GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PetsApp,com.hcl.pp.services,UserServiceImpl,78,6,4,0,19,2,5,1,3,1
PetsApp,com.hcl.pp.services,PetServiceImpl,29,6,0,0,9,2,2,1,2,1
PetsApp,com.hcl.pp.models,PetModel,42,3,0,0,18,1,12,1,12,1
PetsApp,com.hcl.pp.models,UserModel,28,3,0,0,12,1,8,1,8,1
PetsApp,com.hcl.pp.controllers,UserController,32,3,0,0,7,1,3,1,3,1
PetsApp,com.hcl.pp.controllers,PetController,19,3,0,0,5,1,2,1,2,1
PetsApp,com.hcl.pp.config,SwaggerConfig,0,14,0,0,0,6,0,2,0,2
PetsApp,com.hcl.pp.beans,User,24,0,0,0,10,0,7,0,7,0
PetsApp,com.hcl.pp.beans,Pet,38,0,0,0,16,0,11,0,11,0
PetsApp,com.hcl.pp,PetsAppApplication,5,3,0,0,2,1,1,1,1,1
